1;  7; 27,2; 14,9; 737; 0
2;  7; 29,8; 18,2; 736; 0
3;  7; 31,6; 19,4; 735; 0
4;  6; 24,4; 19,0; 738; 2,0
5;  7; 27,3; 17,3; 737; 0,1
6;  7; 29,1; 16,2; 733; 0
7;  1; 26,4; 13,3; 734; 12,0
8;  2; 20,2; 10,7; 739; 2,0
9;  5; 21,3; 11,5; 742; 0
10; 7; 27,5; 12,1; 740; 0
11; 7; 30,2; 17,6; 739; 0
12; 2; 26,5; 12,5; 740; 3,0
13; 2; 20,8; 10,6; 739; 3,0
14; 6; 21,5;  9,5; 737; 0
15; 5; 23,1; 10,9; 737; 0
16; 6; 24,9; 11,9; 736; 0
17; 6; 26,4; 14,9; 738; 0
18; 7; 26,9; 13,2; 740; 0
19; 7; 27,1; 15,7; 739; 0
20; 7; 27,3; 14,6; 737; 0
21; 6; 27,7; 14,9; 739; 0
22; 7; 24,8; 13,9; 740; 0
23; 7; 24,0; 11,8; 737; 0
24; 0; 25,7; 12,4; 737; 0
25; 7; 30,1; 14,3; 737; 0
26; 1; 29,1; 16,9; 738; 5,0
27; 7; 30,9; 17,4; 738; 0
28; 2; 30,2; 16,9; 738; 0,4
29; 7; 31,7; 17,5; 739; 0
30; 7; 30,1; 16,4; 739; 0
31; 2; 20,2; 10,7; 739; 2,0
